time,x,y,z,v,com,azi,ele,snr,noise
0,-0.00681345583871007,0.04307052865624428,0.0,0.0,0.043606119056783896,-8.989299004357685,0.0,168,935
1,-0.025891132652759552,0.035087645053863525,0.0,0.0,0.04360611867007548,-36.42357318166456,0.0,168,935
2,-0.9484330415725708,0.44241952896118164,0.0,0.0,1.0465468331387906,-64.99216347768541,0.0,193,855
3,0.1962275207042694,1.02798593044281,0.0,0.0,1.0465468518275303,10.80692210615921,0.0,193,855
4,-0.058595720678567886,1.8741472959518433,0.0,0.0,1.875063077713773,-1.7907846460897747,0.0,164,835
5,-3.270458698272705,1.213943362236023,0.0,0.0,3.4884894415526753,-69.63585804331352,0.0,270,881
6,3.50620436668396,0.89773029088974,0.0,0.0,3.619307770297332,75.63848623918922,0.0,186,855
7,-5.8868255615234375,2.1850974559783936,0.0,0.0,6.2792806979724185,-69.63586283925541,0.0,229,750
8,-6.8679633140563965,2.549280881881714,0.0,0.0,7.325827809739465,-69.63585948419852,0.0,166,680
9,5.390806198120117,5.214690208435059,0.0,0.0,7.5002523581302745,45.951372353602345,0.0,257,622
10,1.1719144582748413,7.408130645751953,0.0,0.0,7.5002522065623145,8.989299749873487,0.0,257,622
11,-0.08857492357492447,0.5599168539047241,0.0,0.8450799584388733,0.56687952897672,-8.98929906607985,0.0,280,529
12,-0.3365847170352936,0.45613938570022583,0.0,0.8450799584388733,0.5668795382871991,-36.42357257572577,0.0,280,529
